,sigma,q,set,ntest,regressor,BH_res_fdp,BH_res_power,BH_res_nsel,BH_rel_fdp,BH_rel_power,BH_rel_nsel,BH_2clip_fdp,BH_2clip_power,BH_2clip_nsel,Bonf_fdp,Bonf_power,Bonf_nsel
392,0.9,0.1,5,10,rf,0.0,0.0,0.0,0.065,0.043202380949999994,0.28,0.09316666667,0.07391666667,0.52,0.07833333333333332,0.05246428571428571,0.37
393,0.9,0.1,5,100,rf,0.0,0.0,0.0,0.06833333333000001,0.00276665509,0.25,0.1114642857,0.01392039936,1.05,0.03333333333333333,0.0041352004212607055,0.24
394,0.9,0.1,5,500,rf,0.0,0.0,0.0,0.027000000000000003,0.00124563507,0.41,0.09923671222,0.0074687014,2.44,0.05833333333333333,0.000744953022032244,0.28
395,0.9,0.1,5,1000,rf,0.0,0.0,0.0,0.04857142856999999,0.00048142008,0.34,0.09005887939000001,0.0036753047500000004,2.62,0.03333333333333333,0.0005011009171311111,0.29
396,0.9,0.1,6,10,rf,0.0,0.0,0.0,0.054166666669999995,0.05426190476000001,0.32,0.09533333332999999,0.08759523808000001,0.57,0.085,0.051380952380952374,0.31
397,0.9,0.1,6,100,rf,0.0,0.0,0.0,0.06124999999,0.01308525353,0.65,0.11072893772,0.03054975242,1.53,0.095,0.008645944376206794,0.43
398,0.9,0.1,6,500,rf,0.0,0.0,0.0,0.055178571440000004,0.00427025356,1.05,0.0695100039,0.00965344846,2.32,0.06833333333333333,0.001539911589520478,0.4
399,0.9,0.1,6,1000,rf,0.0,0.0,0.0,0.08853679653,0.00167588441,0.89,0.08358010083,0.00591074209,3.03,0.06416666666666666,0.001060550565387405,0.51
400,0.9,0.2,1,10,rf,0.0,0.0,0.0,0.10637698414999999,0.8201547619199999,4.66,0.21917857141,0.8997380952499999,5.94,0.06571428571428571,0.6830833333333334,3.82
401,0.9,0.2,1,100,rf,0.0,0.0,0.0,0.08945178347,0.70973587076,39.22,0.20186968654,0.8488874661600001,53.45,0.03782382891899021,0.23528319170880135,11.76
402,0.9,0.2,1,500,rf,0.0,0.0,0.0,0.09408403314,0.73265505625,203.27,0.19615113119,0.84595891556,263.87,0.01979164384951297,0.04807849498515819,12.19
403,0.9,0.2,1,1000,rf,0.0,0.0,0.0,0.09903888636,0.77366704342,431.35,0.19783091346999998,0.89293115986,558.3,0.020604198478779222,0.025983163892292226,13.2
404,0.9,0.2,2,10,rf,0.04722222222,0.33875,3.38,0.050488095250000004,0.47817063489,4.15,0.187,1.0,9.99,0.04776190476190476,0.4901031746031746,4.18
405,0.9,0.2,2,100,rf,0.012872480589999999,0.07929167316,7.8,0.03154342282,0.42899580032,36.1,0.18756958818000002,0.99884199134,99.71,0.011543508237548482,0.16504989215764865,13.64
406,0.9,0.2,2,500,rf,0.00970341909,0.05963491848,29.17,0.03803811772,0.43164941037,183.04,0.18608439920999997,0.9996825845399999,499.24,0.01201106015013444,0.03580795959286539,14.68
407,0.9,0.2,2,1000,rf,0.011382147600000002,0.06838743593,66.16,0.036070695879999996,0.39952243658000003,337.21,0.18869380273,0.99977803274,999.32,0.009033871888425981,0.021200935383918273,17.39
408,0.9,0.2,5,10,rf,0.0,0.0,0.0,0.10238095238,0.08595238095999999,0.66,0.19871428571,0.24389682541,1.94,0.14333333333333334,0.08049206349206349,0.58
