,sigma,q,set,ntest,regressor,r_squared,BH_res_fdp,BH_res_power,BH_res_nsel,BH_rel_fdp,BH_rel_power,BH_rel_nsel,BH_2clip_fdp,BH_2clip_power,BH_2clip_nsel,Bonf_fdp,Bonf_power,Bonf_nsel
231,0.5,0.5,2,1000,rf,0.43188531925179874,0.15406,1.0,1000.0,0.0770919105895456,0.9772083656242296,895.79,0.15406,1.0,1000.0,0.005225422989884929,0.13217680304434914,112.44
232,0.5,0.5,5,10,rf,-0.02998473214070879,0.003,0.01,0.1,0.19585714285714284,0.37673809523809526,2.88,0.48684920634920636,0.981904761904762,9.73,0.19966666666666666,0.27873809523809523,1.79
233,0.5,0.5,5,100,rf,0.07548871099597303,0.0,0.0,0.0,0.2626834565982319,0.27016788603030145,19.57,0.4878832073479959,0.9866466068630763,97.28,0.16745238095238094,0.03756165413476922,2.37
234,0.5,0.5,5,500,rf,0.09307320499795177,0.0,0.0,0.0,0.24795191781536513,0.258605251966954,89.1,0.493678289330564,0.9866922941328871,486.34,0.11266143578643578,0.009078363184237674,2.7
235,0.5,0.5,5,1000,rf,0.09087633287993527,0.0,0.0,0.0,0.24745383005117993,0.24214280578383515,166.19,0.4955038275548575,0.9879861644276586,974.45,0.14118362193362194,0.005934054168623918,3.61
236,0.5,0.5,6,10,rf,0.011409195437455404,0.0,0.0,0.0,0.3686468253968254,0.5758928571428572,3.95,0.4962182539682539,0.8372380952380952,6.79,0.3285,0.28145238095238095,1.7
237,0.5,0.5,6,100,rf,0.22323171741425757,0.0,0.0,0.0,0.3417414462433004,0.5200427331627133,29.19,0.5039769157119964,0.866478438559151,62.29,0.1406468253968254,0.07302205961133645,3.0
238,0.5,0.5,6,500,rf,0.2271087826984982,0.0,0.0,0.0,0.3263655809793849,0.4658375629263297,122.09,0.5001452631894273,0.8449718785153633,294.59,0.07244236319236319,0.019523745030374785,3.8
239,0.5,0.5,6,1000,rf,0.23381688310252793,0.0,0.0,0.0,0.31551428884726496,0.46005013064190436,238.87,0.4999884271088305,0.8614553220280412,602.26,0.12537842712842712,0.011728586549219759,4.79
240,0.6,0.1,1,10,rf,0.20225467611525427,0.0,0.0,0.0,0.05326190476190476,0.6890595238095238,3.7,0.1067063492063492,0.798797619047619,4.64,0.04083333333333333,0.625,3.18
241,0.6,0.1,1,100,rf,0.3034270670799815,0.0,0.0,0.0,0.05554819085229816,0.7478602934147497,39.47,0.1028438218797949,0.8152320094919715,45.56,0.013531366294524186,0.42355700593322126,21.44
242,0.6,0.1,1,500,rf,0.30976014508736155,0.0,0.0,0.0,0.047754943809593726,0.7056183048744238,184.31,0.0982184041051886,0.8020039593154752,221.55,0.014119418823975152,0.08866697467220068,22.11
243,0.6,0.1,1,1000,rf,0.3186166839672072,0.0,0.0,0.0,0.047379827179894175,0.7142133143391527,375.06,0.10260177711566679,0.8057083597208538,447.29,0.0055196960898180394,0.04164536111501058,20.79
244,0.6,0.1,2,10,rf,0.278633425127669,0.0,0.0,0.0,0.021916666666666664,0.4863373015873016,4.28,0.09372222222222222,0.9788333333333332,9.24,0.020916666666666663,0.5406388888888889,4.71
245,0.6,0.1,2,100,rf,0.3820695692885722,0.0,0.0,0.0,0.016237584944420434,0.49213109454505743,41.96,0.10000640432448293,0.9816713659595091,91.31,0.0035709192768016277,0.2196538819786327,18.46
246,0.6,0.1,2,500,rf,0.3773845121110098,0.0,0.0,0.0,0.015850249748379012,0.47126411479498215,200.31,0.10091549978568942,0.9788970475341117,454.63,0.002334674576053884,0.04019094608927272,16.83
247,0.6,0.1,2,1000,rf,0.37082451120719745,0.0,0.0,0.0,0.016256949064270367,0.44751539124192197,381.81,0.09938364060759552,0.9790740714799065,910.95,0.003460737516070311,0.019106346302135754,16.08
248,0.6,0.1,5,10,rf,-0.1192552664969207,0.0,0.0,0.0,0.0675,0.0426031746031746,0.34,0.12333333333333334,0.12638095238095237,0.92,0.1075,0.06712698412698412,0.51
249,0.6,0.1,5,100,rf,0.07668367309749775,0.0,0.0,0.0,0.009999999999999998,0.005027655132749483,0.29,0.06797175536881418,0.024288674447205897,1.59,0.018333333333333333,0.00605041012103242,0.34
250,0.6,0.1,5,500,rf,0.08323519326653306,0.0,0.0,0.0,0.03908447924624395,0.004746630015865469,1.48,0.08581496829910142,0.014814646905016602,4.68,0.06,0.001245188838560944,0.39
251,0.6,0.1,5,1000,rf,0.07453982387295811,0.0,0.0,0.0,0.06540815947337686,0.0018612739579809909,1.23,0.07374345642121041,0.01218373505585957,7.66,0.065,0.0007427979426275221,0.5
252,0.6,0.1,6,10,rf,0.08550078778686433,0.0,0.0,0.0,0.07333333333333333,0.09702380952380953,0.45,0.13285714285714284,0.1610238095238095,0.86,0.095,0.10769047619047618,0.46
253,0.6,0.1,6,100,rf,0.19106848596374676,0.0,0.0,0.0,0.09391017316017315,0.03222902265941396,1.35,0.0972855339105339,0.06074764212471982,2.66,0.09166666666666666,0.013271306709806823,0.58
254,0.6,0.1,6,500,rf,0.19491701335864486,0.0,0.0,0.0,0.04099382969971205,0.009205914896765272,1.97,0.09947390833803876,0.0235604229872286,5.28,0.0275,0.003036197078402335,0.62
255,0.6,0.1,6,1000,rf,0.19014301685949558,0.0,0.0,0.0,0.08220839125551803,0.01208519047250207,5.07,0.0864629384020976,0.025793307287340382,11.34,0.07083333333333333,0.0014497662122537169,0.63
256,0.6,0.2,1,10,rf,0.2050569769285946,0.0,0.0,0.0,0.10044047619047619,0.7637738095238095,4.2,0.20184126984126982,0.9044285714285714,5.71,0.05902380952380952,0.6946785714285714,3.55
257,0.6,0.2,1,100,rf,0.30763207009045346,0.0,0.0,0.0,0.10058959185257077,0.8104897699538961,45.46,0.20147933192718936,0.8965161391445645,56.49,0.013865456508756337,0.5005807509692114,25.37
258,0.6,0.2,1,500,rf,0.3197275284051194,0.0,0.0,0.0,0.09992425238423147,0.82731133213175,232.07,0.1972136837310228,0.921929245573189,289.94,0.013943673557514476,0.16801028094526482,42.35
259,0.6,0.2,1,1000,rf,0.2960037226985047,0.0,0.0,0.0,0.10143378791128561,0.7746215895502234,430.76,0.1951469550712519,0.8621899112243703,537.28,0.01349286795345952,0.07764425948690441,39.01
260,0.6,0.2,2,10,rf,0.29071889581242927,0.08605555555555557,0.8175,7.91,0.04194047619047619,0.7248769841269841,6.44,0.155,1.0,10.0,0.04246031746031745,0.7087619047619047,6.22
261,0.6,0.2,2,100,rf,0.36875159935126656,0.06698368675229333,0.6678257694043013,62.94,0.03253187840703744,0.6919473475851363,60.23,0.1588,1.0,100.0,0.0059956523743052515,0.28858711107234736,24.42
262,0.6,0.2,2,500,rf,0.37975518850020223,0.06401504227955308,0.6093958291754228,284.26,0.03257071998325313,0.6770210726363234,292.26,0.16570000000000001,1.0,500.0,0.010212893678535633,0.08012820856817149,33.64
263,0.6,0.2,2,1000,rf,0.36114581842004967,0.07584362406824435,0.705227036306362,662.19,0.031146346769232433,0.6694719204871299,579.54,0.16199000000000002,1.0,1000.0,0.00797644394281492,0.03785143896329424,31.85
