,sigma,q,set,ntest,regressor,r_squared,BH_res_fdp,BH_res_power,BH_res_nsel,BH_rel_fdp,BH_rel_power,BH_rel_nsel,BH_2clip_fdp,BH_2clip_power,BH_2clip_nsel,Bonf_fdp,Bonf_power,Bonf_nsel
164,0.4,0.2,2,10,gbr,0.4671826723387255,0.05423412698412698,0.9046309523809524,8.3,0.028539682539682535,0.8721111111111111,7.68,0.15,1.0,10.0,0.025869047619047614,0.8497142857142858,7.42
165,0.4,0.2,2,100,gbr,0.5457924939140308,0.06378568415086402,0.9426689527510167,85.41,0.028949945732337,0.8708642042580454,75.87,0.1551,1.0,100.0,0.0079461820287514,0.2893132073746816,24.67
166,0.4,0.2,2,500,gbr,0.543297904114866,0.05568514569992065,0.9594088173610591,434.38,0.02812852736677829,0.8793726909951546,386.46,0.146,1.0,500.0,0.011181138864966916,0.0734720774218966,31.51
167,0.4,0.2,2,1000,gbr,0.5458536170592089,0.05764187359899523,0.9513463314598022,863.01,0.02955504304967148,0.8841754799829015,777.44,0.147,1.0,1000.0,0.005059098734765276,0.039998825534136626,34.24
168,0.4,0.2,5,10,gbr,-0.09625100830641696,0.0,0.0,0.0,0.10833333333333332,0.12010714285714286,0.9,0.21720238095238095,0.2671309523809524,2.07,0.16833333333333333,0.1293690476190476,0.91
169,0.4,0.2,5,100,gbr,0.027134168475413663,0.0,0.0,0.0,0.06332020757020757,0.027765057147141805,1.68,0.18609317552291083,0.12494538488161601,8.71,0.07833333333333332,0.015041093243847795,0.9
170,0.4,0.2,5,500,gbr,0.031096265720095998,0.0,0.0,0.0,0.07996240776755482,0.013624862566571463,4.2,0.19857046747591556,0.09102068758752997,30.37,0.08791666666666666,0.0034534256221965642,1.03
171,0.4,0.2,5,1000,gbr,0.03039563946543806,0.0,0.0,0.0,0.09177156715622507,0.013295718037585905,8.27,0.20770756103358065,0.0726510333775573,49.37,0.08916666666666666,0.0016132935022968762,0.97
172,0.4,0.2,6,10,gbr,0.24189791003286026,0.0,0.0,0.0,0.10183333333333333,0.3015238095238095,1.54,0.1618452380952381,0.46330952380952384,2.47,0.08333333333333331,0.23404761904761906,1.04
173,0.4,0.2,6,100,gbr,0.30414653342178855,0.0,0.0,0.0,0.12596483564034713,0.1807674733183077,7.41,0.1978882320761282,0.34789371642282624,15.36,0.050666666666666665,0.0523674036514335,1.87
174,0.4,0.2,6,500,gbr,0.2892407263094967,0.0,0.0,0.0,0.13663679280381347,0.15855996266593525,32.32,0.21419364828460513,0.3088531033616854,67.83,0.0961111111111111,0.012825953714432676,2.45
175,0.4,0.2,6,1000,gbr,0.29850690558519893,0.0,0.0,0.0,0.13659724599428552,0.13924624360710772,55.93,0.19350251912247704,0.29145560017951344,125.44,0.07519444444444445,0.006373742147176024,2.33
176,0.4,0.5,1,10,gbr,0.8305870678513688,0.21599999999999997,0.44,4.4,0.24765079365079362,0.9963333333333334,6.81,0.47834920634920636,1.0,9.85,0.08827777777777777,0.9882222222222222,5.52
177,0.4,0.5,1,100,gbr,0.8451225525838164,0.2101,0.41,41.0,0.25943538827163065,0.9952144130038668,66.24,0.5024909249041674,1.0,98.88,0.01137569371867194,0.9087744129798194,45.26
